"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 01 16:56:58 IST 2021","Sun Aug 01 16:57:37 IST 2021","38892","","Commbank -- Run Office BattleField Tests","","Commbank -- Run Office BattleField Tests","Answer the Question incorrectly and try again","Answer the Question incorrectly and try again",""
"broken","Sun Aug 01 16:59:31 IST 2021","Sun Aug 01 17:01:25 IST 2021","114332","","Commbank -- Run Office BattleField Tests","","Commbank -- Run Office BattleField Tests","Answer the Questions and try next battle","Answer the Questions and try next battle",""
"passed","Sun Aug 01 16:50:12 IST 2021","Sun Aug 01 16:50:59 IST 2021","46839","","Commbank -- Run Take the Bus BattleField Tests","","Commbank -- Run Take the Bus BattleField Tests","Answer the Questions and check final score","Answer the Questions and check final score",""
"passed","Sun Aug 01 16:56:14 IST 2021","Sun Aug 01 16:56:58 IST 2021","43748","","Commbank -- Run Office BattleField Tests","","Commbank -- Run Office BattleField Tests","Answer the Questions and check final score","Answer the Questions and check final score",""
"passed","Sun Aug 01 16:48:30 IST 2021","Sun Aug 01 16:49:13 IST 2021","43474","","Commbank -- Run Are you Game? BattleField Tests","","Commbank -- Run Are you Game? BattleField Tests","Answer the restaurant question incorrectly","Answer the restaurant question incorrectly",""
"passed","Sun Aug 01 16:50:59 IST 2021","Sun Aug 01 16:51:37 IST 2021","38141","","Commbank -- Run Take the Bus BattleField Tests","","Commbank -- Run Take the Bus BattleField Tests","Answer the Question incorrectly and try again","Answer the Question incorrectly and try again",""
"passed","Sun Aug 01 16:55:49 IST 2021","Sun Aug 01 16:56:10 IST 2021","21026","","Commbank -- Create Warrior(Super Hero) to fight Covid-19(Super Villain)","","Commbank -- Create Warrior(Super Hero) to fight Covid-19(Super Villain)","Warrior Name Can't be more than 10 Characters","Warrior Name Can't be more than 10 Characters",""
"passed","Sun Aug 01 16:52:38 IST 2021","Sun Aug 01 16:53:32 IST 2021","53159","","Commbank -- Run Take the Bus BattleField Tests","","Commbank -- Run Take the Bus BattleField Tests","Return to Home page after timeout","Return to Home page after timeout",""
"passed","Sun Aug 01 16:51:37 IST 2021","Sun Aug 01 16:52:38 IST 2021","61007","","Commbank -- Run Take the Bus BattleField Tests","","Commbank -- Run Take the Bus BattleField Tests","Try again the Question after timeout","Try again the Question after timeout",""
"passed","Sun Aug 01 16:49:13 IST 2021","Sun Aug 01 16:50:08 IST 2021","54790","","Commbank -- Run Are you Game? BattleField Tests","","Commbank -- Run Are you Game? BattleField Tests","Return to Home Page after timeout","Return to Home Page after timeout",""
"passed","Sun Aug 01 16:47:17 IST 2021","Sun Aug 01 16:47:50 IST 2021","33141","","Commbank -- Run Are you Game? BattleField Tests","","Commbank -- Run Are you Game? BattleField Tests","Answer the public place question incorrectly","Answer the public place question incorrectly",""
"passed","Sun Aug 01 16:58:37 IST 2021","Sun Aug 01 16:59:31 IST 2021","53371","","Commbank -- Run Office BattleField Tests","","Commbank -- Run Office BattleField Tests","Return to Home page after timeout","Return to Home page after timeout",""
"broken","Sun Aug 01 16:53:32 IST 2021","Sun Aug 01 16:55:09 IST 2021","97699","","Commbank -- Run Take the Bus BattleField Tests","","Commbank -- Run Take the Bus BattleField Tests","Answer the Questions and try next battle","Answer the Questions and try next battle",""
"passed","Sun Aug 01 16:47:50 IST 2021","Sun Aug 01 16:48:30 IST 2021","39363","","Commbank -- Run Are you Game? BattleField Tests","","Commbank -- Run Are you Game? BattleField Tests","Answer the office question incorrectly","Answer the office question incorrectly",""
"passed","Sun Aug 01 16:46:21 IST 2021","Sun Aug 01 16:47:17 IST 2021","56713","","Commbank -- Run Are you Game? BattleField Tests","","Commbank -- Run Are you Game? BattleField Tests","Answer the Questions when you are at different places","Answer the Questions when you are at different places",""
"passed","Sun Aug 01 16:55:14 IST 2021","Sun Aug 01 16:55:49 IST 2021","35424","","Commbank -- Create Warrior(Super Hero) to fight Covid-19(Super Villain)","","Commbank -- Create Warrior(Super Hero) to fight Covid-19(Super Villain)","Create a Covid-19 Super Hero","Create a Covid-19 Super Hero",""
"passed","Sun Aug 01 16:57:37 IST 2021","Sun Aug 01 16:58:37 IST 2021","60289","","Commbank -- Run Office BattleField Tests","","Commbank -- Run Office BattleField Tests","Try again the Question after timeout","Try again the Question after timeout",""
